City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Albany,42.6001,-73.9662,26.01,62,16,3.83,US,2021-02-26 08:07:29
68,Hami,42.8,93.45,39.13,55,100,17.56,CN,2021-02-26 08:09:49
69,Grand Gaube,-20.0064,57.6608,84.0,66,15,10.0,MU,2021-02-26 08:09:49
70,Hithadhoo,-0.6,73.0833,82.08,79,65,12.41,MV,2021-02-26 08:09:50
71,Cockburn Town,21.4612,-71.1419,76.17,77,0,19.77,TC,2021-02-26 08:09:50
72,Esperance,-33.8667,121.9,68.0,64,90,17.27,AU,2021-02-26 08:09:50
73,Upernavik,72.7868,-56.1549,7.84,82,100,8.08,GL,2021-02-26 08:09:50
74,Port Alfred,-33.5906,26.891,70.0,74,33,1.01,ZA,2021-02-26 08:09:51
75,Tullahoma,35.362,-86.2094,48.99,57,90,8.05,US,2021-02-26 08:09:09
76,Launceston,-41.45,147.1667,68.0,52,40,11.5,AU,2021-02-26 08:09:51
77,Richards Bay,-28.783,32.0377,73.78,82,59,10.85,ZA,2021-02-26 08:09:52
78,Bambous Virieux,-20.3428,57.7575,84.2,70,75,16.11,MU,2021-02-26 08:09:52
79,Broome,42.2506,-75.833,21.2,73,90,4.61,US,2021-02-26 08:09:52
80,Ambovombe,-25.1667,46.0833,82.49,66,96,8.68,MG,2021-02-26 08:09:52
81,Hermanus,-34.4187,19.2345,73.99,65,48,8.01,ZA,2021-02-26 08:09:53
82,Ancud,-41.8697,-73.8203,51.01,93,90,2.89,CL,2021-02-26 08:09:53
83,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.5,83,11,2.46,BR,2021-02-26 08:09:53
84,Taoudenni,22.6783,-3.9836,63.05,30,0,6.76,ML,2021-02-26 08:09:53
85,San Vito Dei Normanni,40.6573,17.7072,57.0,82,0,11.5,IT,2021-02-26 08:09:54
86,Vao,-22.6667,167.4833,78.42,80,0,21.41,NC,2021-02-26 08:09:54
87,Jamestown,42.097,-79.2353,26.6,80,75,5.97,US,2021-02-26 08:06:29
88,Mikuni,36.2171,136.1519,46.4,53,75,11.5,JP,2021-02-26 08:09:55
89,Avarua,-21.2078,-159.775,80.6,89,40,11.5,CK,2021-02-26 08:09:55
90,Hilo,19.7297,-155.09,69.8,78,40,6.91,US,2021-02-26 08:06:08
91,Piacabucu,-10.4056,-36.4344,75.65,82,23,3.76,BR,2021-02-26 08:09:55
92,Cape Town,-33.9258,18.4232,75.2,50,0,16.11,ZA,2021-02-26 08:06:22
93,Hong Gai,20.956,107.0946,78.8,69,75,5.75,VN,2021-02-26 08:09:56
94,Saurimo,-9.6608,20.3916,72.91,83,80,8.55,AO,2021-02-26 08:09:56
95,Narsaq,60.9167,-46.05,33.8,44,90,1.41,GL,2021-02-26 08:09:56
96,Chuy,-33.6971,-53.4616,61.77,89,0,4.38,UY,2021-02-26 08:09:57
97,Sept-Iles,50.2001,-66.3821,3.0,51,20,12.66,CA,2021-02-26 08:09:57
98,Santa Maria,-29.6842,-53.8069,61.34,96,7,6.73,BR,2021-02-26 08:09:57
99,Fortuna,40.5982,-124.1573,46.99,87,90,13.8,US,2021-02-26 08:09:53
100,Aras,42.5617,-2.356,42.8,93,75,3.91,ES,2021-02-26 08:09:58
101,Pisco,-13.7,-76.2167,69.8,73,0,3.44,PE,2021-02-26 08:09:59
102,Bajil,15.0584,43.2851,81.59,60,14,5.84,YE,2021-02-26 08:09:59
103,Shieli,44.1667,66.75,17.87,73,72,5.88,KZ,2021-02-26 08:09:59
104,Zhigansk,66.7697,123.3711,-30.17,95,81,1.72,RU,2021-02-26 08:09:59
105,Yellowknife,62.456,-114.3525,-34.01,67,1,4.61,CA,2021-02-26 08:10:00
106,Brasileia,-11.0161,-68.7481,72.68,98,99,1.99,BR,2021-02-26 08:10:00
107,Fairbanks,64.8378,-147.7164,6.8,85,90,2.73,US,2021-02-26 08:10:00
108,Bara,10.3744,10.7288,79.88,14,96,6.4,NG,2021-02-26 08:10:00
109,Kloulklubed,7.0419,134.2556,77.0,94,90,5.75,PW,2021-02-26 08:10:00
110,Komsomolskiy,40.4272,71.7189,28.4,46,40,6.91,UZ,2021-02-26 08:10:01
111,Vardo,70.3705,31.1107,28.4,86,75,19.57,NO,2021-02-26 08:10:01
112,Kununurra,-15.7667,128.7333,95.0,30,68,9.22,AU,2021-02-26 08:10:02
113,Daru,-9.0763,143.2092,81.95,84,78,6.87,PG,2021-02-26 08:10:02
114,Rome,34.257,-85.1647,50.0,66,90,4.61,US,2021-02-26 08:05:53
115,Mehamn,71.0357,27.8492,35.6,69,0,17.27,NO,2021-02-26 08:10:03
116,Kaitangata,-46.2817,169.8464,55.81,94,69,5.3,NZ,2021-02-26 08:10:03
117,Arraial Do Cabo,-22.9661,-42.0278,74.16,90,100,2.98,BR,2021-02-26 08:10:03
