City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Itupiranga,BR,84.2,few clouds,-5.1347,-49.3267,Hotel Panorama
253,Jibuti,DJ,77.0,few clouds,11.5,42.5,Orchid Main Camp Goubet
255,Karratha,AU,80.19,few clouds,-20.7377,116.8463,ibis Styles Karratha
259,Belmopan,BZ,89.6,scattered clouds,17.25,-88.7667,Villa San Juan
263,Alyangula,AU,83.32,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
265,Sao Felix Do Xingu,BR,79.63,moderate rain,-6.6447,-51.995,Rio Xingu Camping
266,Itarema,BR,79.92,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
269,Lagos,NG,81.07,clear sky,6.5833,3.75,
270,Samarai,PG,81.9,overcast clouds,-10.6167,150.6667,Nuli Sapi
272,Bluffton,US,79.0,clear sky,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
273,Necochea,AR,88.0,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
278,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
285,Aripuana,BR,78.4,overcast clouds,-9.1667,-60.6333,
290,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
294,Vao,NC,77.9,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
295,Douentza,ML,75.15,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
297,San Policarpo,PH,79.74,overcast clouds,12.1791,125.5072,JM Lodge
298,Kindu,CD,75.38,overcast clouds,-2.95,25.95,Résidence Okanda
299,Tiarei,PF,82.4,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
303,Pimentel,PE,84.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
305,Bosaso,SO,76.33,clear sky,11.2842,49.1816,Red Sea Hotel
311,Boca Do Acre,BR,79.92,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
315,Labuhan,ID,77.77,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
325,Paramonga,PE,77.43,clear sky,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
329,Gamba,GA,80.02,light rain,-2.65,10.0,
331,Guarapari,BR,84.0,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
