City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ancud,CL,-41.8697,-73.8203,68.0,68,90,4.61,overcast clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,40,12.66,scattered clouds
81,Sitka,US,57.0531,-135.33,39.2,87,90,24.16,moderate rain
82,Jamestown,US,42.097,-79.2353,46.99,90,90,12.15,overcast clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,81.0,36,40,11.5,scattered clouds
84,Boddam,GB,57.4667,-1.7833,45.0,93,90,1.14,overcast clouds
85,Wanning,CN,18.8003,110.3967,70.39,94,29,3.36,scattered clouds
86,Luwuk,ID,-0.9516,122.7875,78.42,70,100,3.09,overcast clouds
87,Saskylakh,RU,71.9167,114.0833,-23.85,83,100,6.2,overcast clouds
88,Geraldton,AU,-28.7667,114.6,68.0,88,7,5.75,clear sky
89,Ugoofaaru,MV,5.6667,73.0,82.35,63,95,1.54,overcast clouds
90,Hambantota,LK,6.1241,81.1185,73.67,78,0,8.99,clear sky
91,Talnakh,RU,69.4865,88.3972,-34.19,79,10,8.34,clear sky
92,Ilulissat,GL,69.2167,-51.1,19.4,49,75,16.11,broken clouds
93,Jiaohe,CN,43.7286,127.3447,13.46,87,100,4.07,overcast clouds
94,Gdov,RU,58.7406,27.8122,31.12,98,41,6.89,scattered clouds
95,Peniche,PT,39.3558,-9.3811,55.0,90,0,5.61,clear sky
96,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,75,1,9.22,clear sky
97,Altinopolis,BR,-21.0256,-47.3739,82.4,51,40,4.61,scattered clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,75.2,78,40,20.71,scattered clouds
99,Port Lincoln,AU,-34.7333,135.8667,62.13,77,100,13.89,light rain
100,Nemuro,JP,43.3236,145.575,32.74,92,100,13.51,snow
101,Lavrentiya,RU,65.5833,-171.0,-15.34,83,0,5.75,clear sky
102,Nikolskoye,RU,59.7035,30.7861,35.01,93,20,4.47,few clouds
103,Longyearbyen,SJ,78.2186,15.6401,15.8,62,75,16.11,broken clouds
104,Chokurdakh,RU,70.6333,147.9167,-29.7,84,0,3.62,clear sky
105,Ahipara,NZ,-35.1667,173.1667,70.12,69,30,7.74,scattered clouds
106,Derzhavinsk,KZ,51.1,66.3167,29.89,97,99,18.88,overcast clouds
107,Bredasdorp,ZA,-34.5322,20.0403,71.6,83,48,17.27,scattered clouds
108,Seoul,KR,37.5683,126.9778,41.0,87,90,6.91,light rain
109,Maicao,CO,11.3832,-72.2432,85.77,48,25,20.54,scattered clouds
110,Charters Towers,AU,-20.1,146.2667,71.96,92,100,13.85,light rain
111,La Troncal,EC,-2.4,-79.3333,86.0,100,90,6.91,moderate rain
112,Vestmannaeyjar,IS,63.4427,-20.2734,41.43,68,100,20.24,overcast clouds
113,Soyo,AO,-6.1349,12.3689,79.92,84,56,7.83,broken clouds
114,Cabedelo,BR,-6.9811,-34.8339,77.0,94,75,13.8,broken clouds
115,Saldanha,ZA,-33.0117,17.9442,59.0,94,35,12.66,scattered clouds
116,Bac Lieu,VN,9.285,105.7244,77.52,87,5,10.69,clear sky
117,Blagoyevo,RU,63.3667,47.9167,14.97,96,100,5.73,overcast clouds
118,Abu Road,IN,24.4833,72.7833,66.33,47,0,2.57,clear sky
119,Yellowknife,CA,62.456,-114.3525,-25.01,51,20,8.05,few clouds
120,Vanimo,PG,-2.6741,141.3028,77.45,88,100,4.07,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,19.4,79,1,11.5,clear sky
122,Faanui,PF,-16.4833,-151.75,82.74,77,66,12.88,moderate rain
123,Kuminskiy,RU,58.6667,66.5667,-8.81,91,90,5.1,overcast clouds
124,Lagoa,PT,39.05,-27.9833,56.95,65,8,13.8,clear sky
125,Kisangani,CD,0.5167,25.2,76.59,58,0,2.53,clear sky
126,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,20,9.22,light rain
127,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,83,0,17.27,clear sky
128,Atar,MR,20.5169,-13.0499,65.21,27,0,7.81,clear sky
129,Andenes,NO,69.3143,16.1194,42.8,75,75,26.46,broken clouds
130,Okhotsk,RU,59.3833,143.3,-1.08,83,100,12.26,overcast clouds
131,Yumen,CN,40.2833,97.2,26.55,35,0,10.04,clear sky
132,Alofi,NU,-19.0595,-169.9187,77.0,83,90,10.36,moderate rain
133,Saint George,US,37.1041,-113.5841,48.2,14,1,5.75,clear sky
134,Aksarka,RU,66.5606,67.7975,-14.57,88,100,11.7,overcast clouds
135,Touros,BR,-5.1989,-35.4608,80.6,78,40,11.5,scattered clouds
136,Chuy,UY,-33.6971,-53.4616,74.41,71,0,14.12,clear sky
137,Tongchuan,CN,35.0806,109.0897,36.12,74,100,14.32,overcast clouds
138,Provideniya,RU,64.3833,-173.3,-5.8,77,0,17.9,clear sky
139,Cockburn Town,TC,21.4612,-71.1419,78.8,69,40,17.27,scattered clouds
140,Pinega,RU,64.7001,43.3936,25.5,93,100,9.24,overcast clouds
141,Shenjiamen,CN,29.9576,122.298,57.22,99,99,8.57,overcast clouds
142,Adrar,MR,20.5022,-10.0711,65.68,26,0,9.28,clear sky
143,Derbent,RU,42.0678,48.2899,43.56,95,100,4.34,overcast clouds
144,Pedasi,PA,7.5333,-80.0333,83.62,66,100,17.9,overcast clouds
145,Jagdalpur,IN,19.0667,82.0333,65.98,36,0,3.56,clear sky
146,Sechura,PE,-5.5569,-80.8222,81.07,56,51,14.97,broken clouds
147,Katsuura,JP,35.1333,140.3,46.4,66,75,4.61,broken clouds
148,Tikrit,IQ,34.6071,43.6782,56.07,38,0,4.05,clear sky
149,Ribeira Grande,PT,38.5167,-28.7,53.6,71,20,8.05,few clouds
150,Sorland,NO,67.667,12.6934,42.8,70,75,23.02,broken clouds
151,Marion,US,39.7684,-86.1555,62.01,77,90,6.91,overcast clouds
152,Asosa,ET,10.0667,34.5333,71.22,23,1,6.13,clear sky
153,Alice Springs,AU,-23.7,133.8833,64.4,34,0,5.75,clear sky
154,Kushmurun,KZ,52.4503,64.6311,21.9,98,99,7.99,light snow
155,Marsaxlokk,MT,35.8419,14.5431,57.2,77,75,9.22,broken clouds
156,East London,ZA,-33.0153,27.9116,72.88,73,67,21.54,broken clouds
157,Codrington,AU,-38.2667,141.9667,60.12,76,94,9.62,overcast clouds
158,Lorengau,PG,-2.0226,147.2712,81.14,78,100,5.35,overcast clouds
159,Shvartsevskiy,RU,54.0961,37.9917,22.06,98,85,3.87,light snow
160,San Jose,US,37.3394,-121.895,68.0,22,20,12.66,few clouds
161,Vila Velha,BR,-20.3297,-40.2925,84.0,83,40,2.3,scattered clouds
162,Oksfjord,NO,70.2396,22.3479,41.0,65,75,20.71,light intensity drizzle
163,Acarau,BR,-2.8856,-40.12,80.15,79,100,12.44,heavy intensity rain
164,Bontang,ID,0.1333,117.5,77.45,85,99,3.09,overcast clouds
165,Paulo Afonso,BR,-9.4061,-38.2147,87.49,37,47,11.83,scattered clouds
166,Turukhansk,RU,65.8167,87.9833,-32.03,84,0,4.29,clear sky
167,Novikovo,RU,51.1537,37.8879,30.9,98,96,4.76,overcast clouds
168,Guatire,VE,10.4762,-66.5427,84.2,74,40,5.75,scattered clouds
169,Nyagan,RU,62.1406,65.3936,-18.09,97,13,3.06,few clouds
170,Gimli,CA,50.6336,-96.9907,12.2,57,96,10.36,overcast clouds
171,Caldwell,US,43.6629,-116.6874,41.0,45,90,6.91,overcast clouds
172,Kailua,US,21.4022,-157.7394,77.0,69,75,17.27,broken clouds
173,Tuatapere,NZ,-46.1333,167.6833,62.01,93,23,3.0,few clouds
174,Clinton,US,42.587,-82.9199,51.01,100,75,4.61,mist
175,Kostino,RU,58.9097,53.2691,-5.51,92,88,3.94,overcast clouds
176,Christchurch,NZ,-43.5333,172.6333,64.99,88,90,11.5,overcast clouds
177,Labrea,BR,-7.2586,-64.7981,75.29,95,100,1.81,overcast clouds
178,Nizhniy Kuranakh,RU,58.8353,125.4869,-18.22,95,100,6.4,overcast clouds
179,General Roca,AR,-39.0333,-67.5833,93.2,21,0,9.22,clear sky
180,Tilichiki,RU,60.4667,166.1,-18.87,90,100,15.35,snow
181,Norman Wells,CA,65.282,-126.8329,-13.0,58,75,16.11,broken clouds
182,Salalah,OM,17.0151,54.0924,75.2,64,0,3.44,clear sky
